,address,zip,building_type,price,beds,baths,sqft,price/sqft,agent,brokerage
612,338 Main St UNIT 36B,94105,- Condo for sale,8800000,3 ,4 ,3800,2315.7894736842104, Jayne L. Jones,COLDWELL BANKER REALTY
613,1601 11th Ave,94122,- Multi-family home for sale,2150000,4 ,4 ,2792,770.0573065902579, Elisabeth Scheidl,COLDWELL BANKER REALTY
614,346 1st St APT 106,94105,- Condo for sale,880000,1 ,2 ,1060,830.188679245283, Brandon Yager,YAGER REALTY OF CALIFORNIA
615,1868 Van Ness Ave APT 401,94109,- Condo for sale,1198000,2 ,2 ,989,1211.324570273003, Anne M. Herrera,SOTHEBY'S INTERNATIONAL REALTY
616,401 Harrison St APT 24F,94105,- Condo for sale,1340000,1 ,1 ,830,1614.4578313253012, Pablo M. Cela,SKYBOX REALTY
617,3126 Scott St APT 1,94123,- Condo for sale,1595000,2 ,2 ,1367,1166.7885881492318, Justin N. Yonker,TRIDENT REAL ESTATE
618,1552 Fulton St,94117,- Foreclosure,2950000,8 ,3 ,4200,702.3809523809524,0,0
619,248 Carl St,94117,- Condo for sale,3995000,3 ,4 ,2864,1394.9022346368715, Mollie W. Poe,INDIGO REAL ESTATE
620,454 Greenwich St,94133,- House for sale,2500000,2 ,2 ,1700,1470.5882352941176, Jill Hacker,JILL HACKER REAL ESTATE BROKER
621,26 Varennes St,94133,- Multi-family home for sale,1699000,84 ,2 ,2952,575.5420054200542, John Ko,MADISON HUNTER
622,2310 Hyde St #1,94109,- Condo for sale,4950000,3 ,4 ,3746,1321.4095034703685, Gregg Lynn,SOTHEBY'S INTERNATIONAL REALTY
623,2177 3rd St #602,94107,- New construction,1399000,2 ,2 ,981,1426.0958205912334, POLARIS PACIFIC,Woods Bagot
624,2924 Sacramento St,94115,- Multi-family home for sale,3450000,7 ,2 ,4116,838.1924198250729, Allison Chapleau,VANGUARD PROPERTIES
625,1177 California St APT 224,94108,- Condo for sale,1695000,2 ,2 ,1653,1025.4083484573503, Maximillian D. Armour,COMPASS
626,488 Folsom St #4704,94105,- New construction,1750000,1 ,2 ,987,1773.049645390071, INC.,RELATED CA RES. SALES
627,712 Bryant St APT 4,94107,- Condo for sale,1649999,2 ,3 ,2097,786.8378636146876,0,0
628,335 Berry St UNIT 402,94158,- Condo for sale,1099000,2 ,2 ,917,1198.473282442748, Rubi Kawamura,COLDWELL BANKER REALTY
629,501 Beale St UNIT 8D,94105,- Condo for sale,1649000,2 ,2 ,1259,1309.7696584590944," Shao Ying ""Shirley"" Liang",BAY REAL ESTATE GROUP
630,1177 California St APT 311,94108,- Condo for sale,475000,Studio,1 ,437,1086.9565217391305, Stephen L. Patton,GPK LUXURY REAL ESTATE
631,2860 22nd St #2864,94110,- Multi-family home for sale,1899999,8 ,5 ,2849,666.900315900316, Tina C. Wong,TRUST REAL ESTATE
632,170 Pfeiffer St,94133,- Multi-family home for sale,4850000,6 ,5 ,4015,1207.970112079701, David W. Gowan,CORCORAN GLOBAL LIVING
633,300 Meadowbrook Dr #1,94132,- New construction,3825000,3 ,4 ,2379,1607.8184110970997, Thomas M. Gasbarre,THE AGENCY
634,731 17th Ave,94121,- Multi-family home for sale,1695000,4 ,-- ,3330,509.009009009009, Alexander T. Clark,THE FRONT STEPS
635,140 S Van Ness Ave UNIT 1101,94103,- Condo for sale,1365000,3 ,2 ,1800,758.3333333333334, Kevin L. Kropp,VANGUARD PROPERTIES
636,5700 Mission St APT 4,94112,- Condo for sale,999888,4 ,2 ,2444,409.1194762684124, Edwin M. Camarao,INTERO REAL ESTATE SERVICES
637,555 Golden Gate Ave PENTHOUSE 11,94102,- New construction,1928888,3 ,2 ,0,inf, Loring M. Aguillon-Racine,JS SULLIVAN SALES AND MARKETIN
638,149 Arleta Ave,94134,- House for sale,1399000,5 ,3 ,2000,699.5,0,0
639,480 Kansas St,94107,- House for sale,2099000,3 ,2 ,0,inf, Mollie W. Poe,INDIGO REAL ESTATE
640,177 Townsend St UNIT 422,94107,- Condo for sale,1249000,2 ,2 ,1025,1218.5365853658536, Pam Godbold,COMPASS
641,305 Filbert St,94133,- House for sale,3995000,2 ,3 ,1968,2029.979674796748, Jim Fisher,COMPASS SF
