,address,zip,building_type,price,beds,baths,sqft,price/sqft,agent,brokerage
0,710 London St,94112,- House for sale,1498000,4 ,3 ,2047,731.8026380068393, Darin J. Holwitz,COMPASS
1,655 27th St,94131,- House for sale,2195000,3 ,3 ,1791,1225.5723059743161, Dale T. Boutiette,COMPASS SF
2,270 Sadowa St,94112,- House for sale,1049000,3 ,2 ,1264,829.9050632911392, Cynthia M. Pagan,PACIFIC EDGE
3,437 Valley St,94131,- House for sale,2000000,3 ,2 ,1949,1026.167265264238, Allison Fortini Crawford,SOTHEBY'S INTERNATIONAL REALTY
4,585 Rockdale Dr,94127,- House for sale,1295000,2 ,1 ,1152,1124.1319444444443, Edward O'Connell,CORCORAN GLOBAL LIVING
5,2 Short St,94114,- House for sale,1195000,1 ,2 ,1019,1172.7183513248283, Lamisse Droubi,GENERATION REAL ESTATE
6,23 Skyview Way,94131,- House for sale,1995000,4 ,4 ,2317,861.0271903323263, Par Hanji,COMPASS SF
7,634 Rockdale Dr,94127,- House for sale,1697000,4 ,3 ,2014,842.6017874875869,0,0
8,25 Woodland Ave,94117,- House for sale,2995000,4 ,3 ,2397,1249.4785148101794, Ilana D. Minkoff,VANGUARD PROPERTIES
9,2828 Vallejo St,94123,- House for sale,28000000,8 ,9 ,10345,2706.6215563073947, Neal Allen Ward,COMPASS
10,125 Precita Ave #A,94110,- Condo for sale,695000,2 ,1 ,1055,658.7677725118483, Danielle H. Lazier,COMPASS
11,321 10th Ave,94118,- House for sale,1995000,3 ,3 ,2170,919.3548387096774, Dale T. Boutiette,COMPASS SF
12,225 Mullen Ave,94110,- House for sale,1650000,3 ,2 ,1650,1000.0, Jason D. Gomez,ARG REAL ESTATE
13,116 Galewood Cir,94131,- House for sale,1610000,2 ,3 ,1465,1098.976109215017,0,0
14,210 Richardson Ave,94123,- House for sale,2495000,4 ,4 ,2839,878.830574145826, David B. Bellings,COMPASS
15,2950 Pacific Ave,94115,- House for sale,29500000,8 ,13 ,20000,1475.0, Neal Allen Ward,COMPASS
16,1010 Monterey Blvd,94127,- House for sale,2295000,4 ,3 ,2683,855.3857622064853, Harold Stoner,Architect
17,2263 45th Ave,94116,- House for sale,1198000,3 ,2 ,1427,839.5234758234058, Todd Wiley,COMPASS
18,72 Lynch St,94109,- Condo for sale,1295000,2 ,2 ,1030,1257.2815533980583, Marsha Abrahams,VANGUARD PROPERTIES
19,108 Jerrold Ave,94124,- Townhouse for sale,798000,3 ,2 ,1325,602.2641509433962, Michelle Kim,MOSAIK REAL ESTATE
20,Plan A Plan,BMR,- New construction,532720,3 ,4 ,1764,301.9954648526077,0,Tri Pointe Homes
21,2741 Divisadero St,94123,- House for sale,9295000,6 ,6 ,5085,1827.9252704031464, Grace C. Shohet,COMPASS SF
22,1891 25th Ave,94122,- House for sale,1495000,3 ,3 ,1550,964.516129032258, Erick Bergman,NEW GENERATION RLTY. & INV.
23,106 Circular Ave,94131,- House for sale,1128000,4 ,3 ,1740,648.2758620689655, Rick Lei,COMPASS
24,1946 30th Ave,94116,- House for sale,1495000,4 ,3 ,1631,916.6155732679338, Jason C. Chan,BARBCO
25,855 Folsom St APT 742,94107,- Condo for sale,525000,2 ,1 ,752,698.1382978723404, Michael S. Broermann,GROUP MB
26,2610 San Jose Ave,94112,- House for sale,1090000,6 ,3 ,2250,484.44444444444446, Ka Yi Cheng,TRUST REAL ESTATE
27,224 Sea Cliff Ave,94121,- House for sale,17500000,6 ,7 ,7170,2440.725244072524, Mark A. Levinson,COMPASS
28,4293 23rd St,94114,- House for sale,1988000,3 ,2 ,0,inf, Jeffrey S. Marples,MARKER LUXURY PROPERTIES
29,384 Raymond Ave,94134,- House for sale,985000,4 ,3 ,1476,667.3441734417344, Joanne J. Xiang,CENTURY 21 REALTY ALLIANCE
30,110 Corbett Ave,94114,- Condo for sale,1295000,3 ,2 ,1855,698.1132075471698, Kimberly M. Sterling,ENGEL & VOELKERS SAN FRANCISCO
31,485 Noe St,94114,- Condo for sale,998000,2 ,2 ,1250,798.4, Christian V. Nguyen,MOSAIK REAL ESTATE
32,2839 Pacific Ave,94115,- House for sale,16950000,5 ,6 ,8650,1959.5375722543354, John S. Kirtland,SOTHEBY'S INTERNATIONAL REALTY
33,208 N Lake Merced Hls APT 1C,94132,- Condo for sale,779000,2 ,2 ,1247,624.6992782678428, Paula Y. Rose,COMPASS SF
34,1067 Green St,94133,- House for sale,8600000,4 ,4 ,5267,1632.8080501234099, Janet F. Schindler,SOTHEBY'S INTERNATIONAL REALTY
35,425 1st St UNIT 2801,94105,- Condo for sale,1789000,2 ,2 ,1042,1716.8905950095968, Jonathan B. Deason,VANGUARD PROPERTIES
36,2698 Pacific Ave,94115,- House for sale,25800000,8 ,6 ,10734,2403.577417551705,0,0
37,650 Turk St UNIT 507,94102,- Condo for sale,499000,Studio,1 ,0,inf, Amanda B. Sharp,COMPASS
38,15 Balceta Ave,94127,- House for sale,1895000,4 ,2 ,2374,798.2308340353833, Matthew J. Woebcke,COMPASS SF
39,338 Potrero Ave UNIT 601,94103,- Condo for sale,298906,1 ,1 ,671,445.4634873323398, Robert  Belli,HOME QUEST REALTY
40,1805 Scott St,94115,- House for sale,799000,1 ,1 ,640,1248.4375, Caroline Kahn Werboff,SOTHEBY'S INTERNATIONAL REALTY
41,50 Jerrold Ave #313,94124,- Condo for sale,799888,2 ,2 ,1156,691.9446366782007,0,0
42,180 3rd Ave,94118,- Multi-family home for sale,3500,3 ,-- ,1400,2.5, Jade Dou,BETTER HOMES AND GARDENS THRIV
43,161 Castro St #B,94114,- Condo for sale,795000,2 ,1 ,700,1135.7142857142858, Jonathan B. Deason,VANGUARD PROPERTIES
44,294 Chester Ave,94132,- House for sale,998000,2 ,1 ,1167,855.1842330762639,0,0
45,1707 30th Ave,94122,- House for sale,1095000,3 ,1 ,1125,973.3333333333334, Jason C. Chan,BARBCO
46,423 24th Ave,94121,- Condo for sale,898000,2 ,2 ,0,inf, Andreas Ernst,COMPASS
47,260 3rd Ave,94118,- Condo for sale,975000,2 ,1 ,984,990.8536585365854, Mark D. McHale,VANGUARD PROPERTIES
48,201 Folsom St APT 23D,94105,- New construction,1299000,1 ,1 ,876,1482.876712328767, Joseph C. Silva Gonsalves,COMPASS
49,999 Donner Ave,94124,- Lot / Land for sale,7500,"4,996 sqft lot",0,0,inf, Trent C. Zhu,BETTER HOMES AND GARDENS REAL
50,23 Madrid St,94112,- House for sale,1995000,5 ,4 ,2308,864.3847487001733, Jack P. Murray,BERKSHIRE HATHAWAY-FRANCISCAN
51,676 Ivy St #678,94102,- Multi-family home for sale,990000,3 ,2 ,1324,747.7341389728097, Lily Lum  Chan,COLDWELL BANKER REALTY
52,3520 Fulton St,94118,- House for sale,2380000,5 ,6 ,3075,773.9837398373984, Nancy Jen,COLDWELL BANKER REALTY
53,1431 Chestnut St #1433,94123,- Multi-family home for sale,2265000,4 ,-- ,3250,696.9230769230769, INC,EXP REALTY OF CALIFORNIA
54,205 Sagamore St,94112,- House for sale,975000,2 ,1 ,1100,886.3636363636364, INC,EXP REALTY OF CALIFORNIA
55,1001 Pine St UNIT 701,94109,- Condo for sale,698000,1 ,1 ,670,1041.7910447761194, Michael  Minson,KELLER WILLIAMS SAN FRANCISCO
56,2226 California St #301,94115,- Condo for sale,1395000,3 ,2 ,1500,930.0, Maximillian D. Armour,COMPASS
57,127 Molimo Dr,94127,- House for sale,1995000,4 ,2 ,2430,820.9876543209876, Steve Gallagher,COLDWELL BANKER REALTY
58,1642 Palou Ave,94124,- House for sale,988000,4 ,3 ,0,inf, Scott A. Rose,CORCORAN GLOBAL LIVING
59,19 Alpine Ter #A,94117,- Condo for sale,695000,1 ,1 ,985,705.5837563451777, Brendon Kearney,COMPASS
60,124 Clayton St,94117,- Condo for sale,1495000,5 ,2 ,1950,766.6666666666666, Aaron M Bellings,COMPASS
61,635 Page St,94117,- Multi-family home for sale,2100000,2 ,-- ,4000,525.0, INC,EXP REALTY OF CALIFORNIA
62,2721 Sacramento St #B,94115,- Condo for sale,1895000,2 ,2 ,1350,1403.7037037037037, Michael B. Harrington,SOTHEBY'S INTERNATIONAL REALTY
63,3325 23rd St,94110,- Condo for sale,1495000,3 ,3 ,2075,720.4819277108434, Kevin Wakelin,COMPASS
64,2475 Sutter St,94115,- Condo for sale,995000,2 ,1 ,900,1105.5555555555557, Mollie W. Poe,INDIGO REAL ESTATE
65,108 Corbett Ave,94114,- Condo for sale,895000,1 ,1 ,1092,819.5970695970695, Kimberly M. Sterling,ENGEL & VOELKERS SAN FRANCISCO
66,223 Orizaba Ave,94132,- House for sale,1289888,4 ,2 ,2039,632.6081412457087,0,0
67,92 Reddy St,94124,- House for sale,989000,2 ,1 ,0,inf, Eugenia A. Mantzoros,EPIC REAL ESTATE & ASSO. INC.
68,625 Campbell Ave,94134,- House for sale,1198000,4 ,3 ,2275,526.5934065934066,0,0
69,2727 Jackson St APT 1,94115,- Condo for sale,585000,Studio,1 ,487,1201.2320328542094, Anthony L. Koutsos,KELLER WILLIAMS SAN FRANCISCO
70,1320 Lyon St,94115,- Condo for sale,1299950,2 ,1 ,1676,775.626491646778,0,0
71,463 14th St,94103,- Condo for sale,1499000,3 ,2 ,1644,911.8004866180048, Britton E. Jackson,JACKSON FULLER REAL ESTATE
72,1350 Natoma St APT 6,94103,- Condo for sale,1149000,2 ,3 ,948,1212.0253164556962, Amanda B. Sharp,COMPASS
73,1646 10th Ave,94122,- Multi-family home for sale,2295000,7 ,5 ,3621,633.8028169014085, Jason C. Chan,BARBCO
74,937 Howard St,94103,- Multi-family home for sale,3300,6 ,-- ,0,inf, Jade Dou,BETTER HOMES AND GARDENS THRIV
75,1550 Hampshire St,94110,- Condo for sale,799000,2 ,1 ,975,819.4871794871794, R. Robert Mattei,MATTEI PROPERTIES LTD
76,381 Winding Way,94112,- House for sale,949000,4 ,2 ,1168,812.5, Jeanne M. Valera,COLDWELL BANKER REALTY
77,333 1st St UNIT N1801,94105,- Condo for sale,1349000,2 ,2 ,958,1408.141962421712, Carter Waite,COMPASS
78,160 27th Ave,94121,- House for sale,3600000,3 ,2 ,2915,1234.991423670669, Missy Wyant Smit,COMPASS
79,2615 Scott St,94123,- House for sale,5950000,4 ,5 ,3135,1897.92663476874, Travis C. Hale,COMPASS SF
80,2921 Washington St APT 2,94115,- Condo for sale,998000,1 ,1 ,1070,932.7102803738318, Calvin M. Kam,COMPASS
81,1750 39th Ave,94122,- House for sale,1095000,2 ,1 ,1000,1095.0, Nancy Lim,COLDWELL BANKER REALTY
82,574 Natoma St APT 203,94103,- Condo for sale,284045,1 ,1 ,407,697.8992628992629, Robert  Belli,HOME QUEST REALTY
83,670 5th Ave,94118,- Condo for sale,1450000,2 ,2 ,1785,812.3249299719888, David E. Werboff,SOTHEBY'S INTERNATIONAL REALTY
84,757 11th Ave,94118,- Condo for sale,1575000,2 ,2 ,1741,904.6524985640436, Ronni Garfield,SOTHEBY'S INTERNATIONAL REALTY
85,2349 15th Ave,94116,- House for sale,1895000,6 ,5 ,2536,747.2397476340694, Deborah L. Nguyen,COMPASS
86,34 Sola Ave,94116,- House for sale,1995000,3 ,3 ,1991,1002.0090406830739, Shannon L. Cronan,COMPASS SF
87,861 Rhode Island St,94107,- Condo for sale,1450000,3 ,2 ,1433,1011.8632240055827, Dennis R. Otto,COMPASS
88,4836 3rd St,94124,- House for sale,799900,2 ,2 ,2420,330.53719008264466, INC.,PRIME METROPOLIS PROP.
89,900 Bush St APT 516,94109,- Condo for sale,799000,2 ,2 ,853,936.6940211019929, Joshua Altman,REDFIN
90,1574 Waller St,94117,- Condo for sale,1295000,2 ,2 ,1197,1081.8713450292398, Larry W. Stiffler,CORCORAN GLOBAL LIVING
91,555 Golden Gate Ave #2G,94102,- New construction,899000,2 ,2 ,912,985.7456140350877, Loring M. Aguillon-Racine,JS SULLIVAN SALES AND MARKETIN
92,656 Cole St,94117,- Condo for sale,1095000,2 ,1 ,1505,727.5747508305648, Edmond D. O'Sullivan,ELEVATION REAL ESTATE
93,1205 4th Ave APT C,94122,- Condo for sale,999000,2 ,1 ,963,1037.3831775700935, Eva Stoyanov,COMPASS SF
94,2306 Geary Blvd,94115,- House for sale,1299000,4 ,3 ,2050,633.6585365853658, Janice Lee,COLDWELL BANKER REALTY
95,1875 Mission St APT 205,94103,- Condo for sale,430849,2 ,1 ,781,551.663252240717, David Bloom Balaban,CORCORAN GLOBAL LIVING
96,2160 Funston Ave,94116,- House for sale,1838000,4 ,3 ,2375,773.8947368421053, Gina W. Tse,REAL ESTATE REVOLUTION
97,112 Mallorca Way,94123,- House for sale,6595000,5 ,5 ,4810,1371.1018711018712, Butch Haze,COMPASS
98,17 Presidio Ter,94118,- House for sale,20000000,6 ,8 ,10040,1992.03187250996, Neal Allen Ward,COMPASS
99,2250 24th St UNIT 129,94107,- Condo for sale,799000,2 ,2 ,1028,777.2373540856031, Jennifer C. Ferland,COMPASS SF
100,1400 Montgomery St #1404,94133,- House for sale,6995000,6 ,8 ,5465,1279.9634034766698, Ron Abta,POLARIS REALTY
101,250 Fitzgerald Ave,94124,- Lot / Land for sale,75000,1.15 acres lot,0,0,inf, Trent C. Zhu,BETTER HOMES AND GARDENS REAL
102,108 Corbett Ave #110,94114,- House for sale,2190000,4 ,3 ,2997,730.7307307307308, Kimberly M. Sterling,ENGEL & VOELKERS SAN FRANCISCO
103,2424 Jones St,94133,- Multi-family home for sale,7995000,5 ,4 ,0,inf, Maximillian D. Armour,COMPASS
104,259 Moscow St,94112,- House for sale,695000,2 ,1 ,1025,678.0487804878048, Nick Johnson,COLDWELL BANKER REALTY
105,1108 Church St,94114,- Condo for sale,849000,2 ,1 ,885,959.3220338983051, Mary Macpherson,COMPASS SF
106,666 Post St APT 901,94109,- Condo for sale,579000,1 ,1 ,738,784.5528455284552, Susanne S. Alexander,SOTHEBY'S INTERNATIONAL REALTY
107,2038 20th Ave,94116,- House for sale,1998000,4 ,5 ,2296,870.2090592334495, Teresa A. Callan,COMPASS
108,4258 26th St,94131,- House for sale,6500000,5 ,5 ,3980,1633.1658291457286,0,0
109,807 Fell St,94117,- Condo for sale,1479000,3 ,1 ,1380,1071.7391304347825, Mollie W. Poe,INDIGO REAL ESTATE
110,2511 Broadway St,94115,- House for sale,11500000,6 ,5 ,0,inf, Michael B. Harrington,SOTHEBY'S INTERNATIONAL REALTY
111,2831 Webster St #2833-6,94123,- Condo for sale,799000,2 ,1 ,769,1039.0117035110534, John L. LePage,CORCORAN GLOBAL LIVING
112,301 Mission St APT 43D,94105,- Condo for sale,3395000,2 ,3 ,1952,1739.2418032786886, Bryant R. Kowalczyk,MARKER LUXURY PROPERTIES
113,650 Delancey St APT 107,94107,- Condo for sale,1950000,2 ,2 ,1554,1254.8262548262549, Eric Turner,COMPASS
114,403 Main St APT 204N,94105,- Condo for sale,589000,1 ,1 ,483,1219.4616977225674, Dale T. Boutiette,COMPASS SF
115,283 Ramsell St,94132,- House for sale,829000,2 ,1 ,1000,829.0, Michael Freethy,COMPASS
116,1310 Fillmore St APT 610,94115,- Condo for sale,343558,1 ,1 ,740,464.26756756756754, John Philip D. Santiago Jr.,SEQUOIA REAL ESTATE
117,766 Harrison St UNIT 205,94107,- Condo for sale,378000,Studio,-- ,328,1152.439024390244, Kenneth Yip,LUX REALTY GROUP
118,1631 Pierce St,94115,- Condo for sale,1749000,3 ,3 ,1504,1162.8989361702127, Kevin K. Ho,VANGUARD PROPERTIES
119,4800 3rd St UNIT 202,94124,- Condo for sale,286781,1 ,1 ,580,494.45,0,0
120,342 S Van Ness Ave,94103,- Condo for sale,895000,3 ,2 ,1490,600.6711409395973, Shaban A. Shakoori,COMPASS
121,625 Moultrie St,94110,- House for sale,1450000,6 ,2 ,2114,685.9035004730368, Sherri Howe,BRAVA REAL ESTATE
122,247 Gates St,94110,- House for sale,1198000,3 ,2 ,0,inf, Joanna A. Rose,REDFIN
123,56 Summit Way,94132,- Condo for sale,1188000,3 ,2 ,1547,767.9379444085326,0,0
124,469 Tehama St #469-6,94103,- Condo for sale,550000,1 ,1 ,544,1011.0294117647059, Susie Smith,CORCORAN GLOBAL LIVING
125,338 Main St UNIT 34C,94105,- New construction,3500000,2 ,2 ,1491,2347.417840375587, Joseph C. Silva Gonsalves,COMPASS
126,887 34th Ave,94121,- Multi-family home for sale,1749000,4 ,2 ,3450,506.95652173913044, James M. Shinbori,COMPASS SF
127,3444 Scott St,94123,- Condo for sale,3100000,4 ,2 ,2616,1185.0152905198777, Carrie Buchanan-Goodman,SOTHEBY'S INTERNATIONAL REALTY
128,66 Cleary Ct APT 809,94109,- Condo for sale,1150000,3 ,2 ,1117,1029.5434198746643, Matthew Tatsumi Gomez,VANGUARD PROPERTIES
129,227 Upper Ter,94117,- Condo for sale,998000,2 ,1 ,0,inf, Iver Hystad,LC INVESTMENTS
130,451 Donahue St UNIT 313,94124,- Condo for sale,760000,2 ,2 ,1010,752.4752475247525, Craig E. Brown,BETTER HOMES AND GARDENS REAL
131,199 Marina Blvd,94123,- House for sale,5499888,4 ,3 ,2897,1898.4770452191922,0,0
132,84 Commonwealth Ave,94118,- House for sale,6725000,6 ,5 ,5610,1198.7522281639929, Neill S. Bassi,SOTHEBY'S INTERNATIONAL REALTY
133,2415 Van Ness Ave APT 403,94109,- Condo for sale,599000,1 ,1 ,629,952.3052464228934, Jim ONeil,SOTHEBY'S INTERNATIONAL REALTY
134,1404 Palou Ave,94124,- House for sale,759000,2 ,2 ,1318,575.8725341426403, Kristen Shannon Villalobos,IMPACT
135,81 Badger St,94112,- House for sale,1650000,3 ,2 ,2350,702.1276595744681,0,0
136,1837 21st Ave,94122,- House for sale,1795000,7 ,5 ,2940,610.5442176870748, BROKER,SHANNON MOLLOY
137,111 Chestnut St UNIT 112,94111,- Condo for sale,612500,1 ,1 ,589,1039.8981324278438, Grant Edward Beggs,SOTHEBY'S INTERNATIONAL REALTY
138,1278 39th Ave,94122,- House for sale,1695000,3 ,3 ,2086,812.5599232981783,0,0
139,60 Cedro Ave,94127,- House for sale,1750000,2 ,2 ,2490,702.8112449799197, Herbert K. Ng,COLDWELL BANKER REALTY
140,647 Carolina St,94107,- Condo for sale,1089000,2 ,2 ,1225,888.9795918367347, Ron Abta,POLARIS REALTY
141,518 Ellsworth St,94110,- House for sale,2145000,3 ,3 ,2045,1048.8997555012224, Shelley D. Trew,VANGUARD PROPERTIES
142,3625 Jackson St,94118,- House for sale,7995000,6 ,6 ,4260,1876.7605633802816, Meagan S. Levitan,CORCORAN GLOBAL LIVING
143,583 Grove St #585,94102,- Multi-family home for sale,995000,3 ,2 ,1536,647.7864583333334, Michael Freethy,COMPASS
144,650 36th Ave,94121,- House for sale,1495000,3 ,1 ,1916,780.2713987473904, Matt Ciganek,VANGUARD PROPERTIES
145,1552 Hampshire St,94110,- Condo for sale,1249000,2 ,2 ,1600,780.625, R. Robert Mattei,MATTEI PROPERTIES LTD
146,6 San Pablo Ave,94127,- House for sale,2990000,5 ,6 ,3992,748.997995991984, Ying He,JENNY HE REALTY ASSOCIATES
147,2660 Scott St,94123,- House for sale,19200000,7 ,6 ,9190,2089.227421109902, Joel Goodrich,COLDWELL BANKER REALTY
148,17 Guy Pl,94105,- New construction,15000000,8 ,9 ,7680,1953.125, Frank A. Nolan,VANGUARD PROPERTIES
149,519 Nevada St,94110,- House for sale,1499999,3 ,3 ,1636,916.869804400978, Craig Ackerman,ACKERMAN REALTY GROUP
150,1864 Ellis St,94115,- Condo for sale,749000,2 ,1 ,875,856.0, Stephanie C. Pascal,MARKER REAL ESTATE
151,4 Coleman St,94124,- Lot / Land for sale,375000,5.72 acres lot,0,0,inf, Trent C. Zhu,BETTER HOMES AND GARDENS REAL
152,674 29th St,94131,- House for sale,1495000,2 ,3 ,0,inf, Lamisse Droubi,GENERATION REAL ESTATE
153,100 San Felipe Ave,94127,- House for sale,2495000,4 ,4 ,3465,720.0577200577201, Adam R. Betta,HIGHLAND PARTNERS
154,3690 21st St,94114,- House for sale,9985000,2 ,4 ,4700,2124.468085106383, Robert S. Levy,COMPASS
155,1450 Leavenworth St #1454,94109,- Multi-family home for sale,2495000,10 ,5 ,4650,536.5591397849462, Brandon S. Chen,COMPASS
156,1825 Laguna St,94115,- Condo for sale,1100000,2 ,1 ,1630,674.8466257668712, Amanda M. Jones,COMPASS
157,201 Sansome St UNIT 501,94104,- Condo for sale,699000,1 ,1 ,658,1062.310030395137, Erik J. McIntosh,BERKSHIRE HATHAWAY-FRANCISCAN
158,255 Waller St,94102,- Condo for sale,1295000,3 ,1 ,1525,849.1803278688525, James Testa,COMPASS
159,8 Octavia St UNIT 408,94102,- Condo for sale,227572,Studio,1 ,385,591.0961038961038, Robert  Belli,COMPASS
160,4399 24th St,94114,- Condo for sale,490000,Studio,1 ,334,1467.065868263473, Anthony L. Koutsos,KELLER WILLIAMS SAN FRANCISCO
161,857 Fell St,94117,- Condo for sale,1299000,3 ,2 ,1751,741.8617932609937, Mollie W. Poe,INDIGO REAL ESTATE
162,4353 17th St,94114,- House for sale,899000,1 ,1 ,685,1312.4087591240875, Thomas A. Baumgartner,REDFIN
163,864 Union St,94133,- Condo for sale,1450000,3 ,2 ,1360,1066.1764705882354, Melanie P. Leung,SEQUOIA REAL ESTATE
164,276 Ripley St,94110,- House for sale,3295000,4 ,4 ,2458,1340.5207485760782, Isabelle Grotte,COMPASS
165,1254 Quesada Ave,94124,- House for sale,799000,4 ,2 ,1515,527.3927392739274, Romunda Craft,VILLARIN HOMES REALTY
166,3790 21st St,94114,- Multi-family home for sale,7900000,5 ,6 ,4400,1795.4545454545455, Erin Thompson,COMPASS
167,6524 Fulton St,94121,- House for sale,1598000,5 ,3 ,2055,777.6155717761557, Robert E. Miller,INTERO REAL ESTATE SERVICES
168,60 Ora Way UNIT H102,94131,- Condo for sale,412932,1 ,1 ,676,610.8461538461538, Emery G. Bushong,VANGUARD PROPERTIES
169,525 Wildwood Way,94112,- House for sale,1278000,2 ,2 ,1110,1151.3513513513512, George W. Langford,COMPASS
170,675 Cole St APT 5,94117,- Condo for sale,749000,1 ,2 ,778,962.7249357326479, Emily Dunn,COMPASS
171,260 King St UNIT 401,94107,- Condo for sale,306949,Studio,1 ,703,436.6273115220484, Sou Fan Wong Ho,BERRI REAL ESTATE
172,230 Rhine St,94112,- House for sale,998000,4 ,3 ,1541,647.6314081765088,0,0
173,574 Natoma St APT 301,94103,- Condo for sale,251200,Studio,1 ,329,763.5258358662614, Shawn M. Case,CORE7 REAL ESTATE
174,2400 Diamond St,94131,- House for sale,3495000,3 ,3 ,0,inf, Pete Brannigan,COMPASS SF
175,901 Post St #2,94109,- Condo for sale,995000,3 ,2 ,1207,824.3579121789561, Lance R. King,KING REALTY GROUP
176,1469 Palou Ave,94124,- House for sale,998888,4 ,2 ,2362,422.8992379339543, Sean Beattie,STARNBERG REALTY INC.
177,20 Burnside Ave,94131,- House for sale,1695000,4 ,2 ,1924,880.977130977131, Kenneth A. Hagan,PINNACLE PROPERTIES
178,3255 17th St,94110,- Multi-family home for sale,4650000,-- ,-- ,9500,489.4736842105263, Jack P. Murray,BERKSHIRE HATHAWAY-FRANCISCAN
179,63 San Jacinto Way,94127,- House for sale,1799000,2 ,1 ,1348,1334.5697329376856,0,0
180,3132 Laguna St,94123,- House for sale,1795000,2 ,1 ,0,inf, David B. Bellings,COMPASS
181,1874 Quesada Ave,94124,- Lot / Land for sale,149000,"2,496 sqft lot",0,0,inf, Trent C. Zhu,BETTER HOMES AND GARDENS REAL
182,2110 Scott St,94115,- House for sale,8750000,6 ,6 ,7148,1224.1186345831002, Joel Goodrich,COLDWELL BANKER REALTY
183,847 San Jose Ave,94110,- House for sale,1395000,3 ,3 ,2124,656.7796610169491, Shelley D. Trew,VANGUARD PROPERTIES
184,200 Friedell St,94124,- Condo for sale,998000,3 ,3 ,1736,574.8847926267281, Edward R. Deleski,VANGUARD PROPERTIES
185,916 Silliman St,94134,- House for sale,998000,2 ,1 ,1125,887.1111111111111, Janet M. McGee,SHAMROCK REAL ESTATE COMPANY
186,341 San Fernando Way,94127,- House for sale,1890000,5 ,4 ,2738,690.2848794740687, Sonny Tang,BETTER HOMES AND GARDENS REAL
187,875 Francisco St,94109,- House for sale,13500000,4 ,5 ,6330,2132.701421800948, Joel Goodrich,COLDWELL BANKER REALTY
188,2554 Pine St,94115,- Condo for sale,1999000,3 ,2 ,1620,1233.9506172839506, Soni Goodman,COMPASS
189,5900 3rd St UNIT 2412,94124,- Condo for sale,364510,1 ,1 ,816,446.703431372549, Gina W. Tse,REAL ESTATE REVOLUTION
190,818 Van Ness Ave APT 509,94109,- Condo for sale,599000,1 ,1 ,724,827.3480662983426, Tim J. Gullicksen,CORCORAN GLOBAL LIVING
191,1478 Church St,94131,- House for sale,2195000,4 ,3 ,2590,847.4903474903475,0,0
192,8 Buchanan St UNIT 502,94102,- Condo for sale,755000,1 ,1 ,605,1247.9338842975208,0,0
193,1273 Mcallister St,94115,- Condo for sale,1675000,4 ,2 ,1800,930.5555555555555, Joanna A. Rose,REDFIN
194,1385 19th Ave,94122,- Multi-family home for sale,1499000,4 ,2 ,2500,599.6,0,0
195,3511 Jackson St,94118,- House for sale,7350000,4 ,5 ,4176,1760.057471264368, SOTHEBY'S INTERNATIONAL REALTY,Frederick H. Meyer
196,426 Fillmore St #B,94117,- Condo for sale,995000,2 ,2 ,1200,829.1666666666666,0,0
197,501 Crescent Way APT 5303,94134,- Condo for sale,588722,2 ,2 ,1166,504.9073756432247, Robert  Belli,HOME QUEST REALTY
198,253 11th Ave,94118,- Multi-family home for sale,2650000,9 ,5 ,4500,588.8888888888889, Anthony L. Koutsos,KELLER WILLIAMS SAN FRANCISCO
199,123 San Jose Ave #B,94110,- Condo for sale,559000,1 ,1 ,0,inf, Shelley D. Trew,VANGUARD PROPERTIES
200,94 Junior Ter,94112,- House for sale,1495000,4 ,3 ,1800,830.5555555555555,0,0
201,1650 Jackson St APT 807,94109,- Condo for sale,799000,1 ,1 ,845,945.5621301775147, Craig Ackerman,ACKERMAN REALTY GROUP
202,1552 22nd St,94107,- Condo for sale,2395000,3 ,3 ,2108,1136.148007590133, Michelle K. Pender,ENGEL & VOELKERS SAN FRANCISCO
203,2640 Jackson St,94115,- House for sale,13500000,9 ,8 ,7772,1737.004632012352, Joel Goodrich,COLDWELL BANKER REALTY
204,388 Fulton St UNIT 301,94102,- Condo for sale,416018,2 ,1 ,708,587.5960451977401, Robert  Belli,HOME QUEST REALTY
205,139 S Lake Merced Hls APT 1B,94132,- Condo for sale,849000,3 ,2 ,1474,575.9837177747626, Naomi Lempert Lopez,COLDWELL BANKER REALTY
206,55 Page St APT 218,94102,- Condo for sale,329000,1 ,1 ,448,734.375, Christopher P. Jurach,VANGUARD PROPERTIES
207,181 Fremont St UNIT 63D,94105,- New construction,3840000,2 ,2 ,1611,2383.612662942272, COMPASS,Jay Paul Company
208,695 Hamilton St,94134,- House for sale,999989,4 ,2 ,1412,708.207507082153,0,0
209,223 Sanchez St,94114,- Condo for sale,1249000,2 ,2 ,1165,1072.1030042918455, Dan McLean,COLDWELL BANKER REALTY
210,1000 N Point St APT 207,94109,- Condo for sale,629000,1 ,1 ,592,1062.5,0,0
211,4132 3rd St #5,94124,- Townhouse for sale,949500,2 ,2 ,1314,722.6027397260274, Janice Lee,COLDWELL BANKER REALTY
212,12 Auburn St,94133,- House for sale,1099000,2 ,1 ,0,inf, Faye Dibachi,COMPASS
213,3259 Clay St #3261,94115,- House for sale,8995000,6 ,7 ,6000,1499.1666666666667, Carolyn Adducci,COMPASS SF
214,744 Union St APT 2,94133,- Condo for sale,799000,2 ,1 ,720,1109.7222222222222, Deborah Lopez,COMPASS SF
